sofascore_id,name,position,nationality,age,height,market_value,team,league
581302,Robin Koch,D,Germany,,190.0,16100000.0,Eintracht Frankfurt,Bundesliga
921789,Rasmus Kristensen,D,Denmark,,186.0,15000000.0,Eintracht Frankfurt,Bundesliga
1048569,Nnamdi Collins,D,Germany,,191.0,13900000.0,Eintracht Frankfurt,Bundesliga
1501641,Keita Kosugi,D,Japan,,172.0,3900000.0,Eintracht Frankfurt,Bundesliga
1403018,Elias Baum,D,Germany,,180.0,4900000.0,Eintracht Frankfurt,Bundesliga
999276,Aurèle Amenda,D,Switzerland,,194.0,6200000.0,Eintracht Frankfurt,Bundesliga
1134203,Kauã Santos,G,Brazil,,196.0,6500000.0,Eintracht Frankfurt,Bundesliga
190161,Michael Zetterer,G,Germany,,187.0,4600000.0,Eintracht Frankfurt,Bundesliga
27214,Jens Grahl,G,Germany,,193.0,210000.0,Eintracht Frankfurt,Bundesliga
2006785,Amil Šiljević,G,Germany,,188.0,,Eintracht Frankfurt,Bundesliga
1019321,Igor Matanović,F,Croatia,,197.0,6800000.0,SC Freiburg,Bundesliga
280009,Lucas Höler,F,Germany,,184.0,2900000.0,SC Freiburg,Bundesliga
171927,Maximilian Philipp,F,Germany,,184.0,580000.0,SC Freiburg,Bundesliga
1131002,Derry Scherhant,F,Germany,,184.0,5800000.0,SC Freiburg,Bundesliga
1508537,Cyriaque Irié,M,Burkina Faso,,184.0,8199999.0,SC Freiburg,Bundesliga
1020422,Yuito Suzuki,M,Japan,,175.0,15500000.0,SC Freiburg,Bundesliga
171961,Vincenzo Grifo,M,Italy,,181.0,4600000.0,SC Freiburg,Bundesliga
1518931,Johan Manzambi,M,Switzerland,,182.0,33000000.0,SC Freiburg,Bundesliga
569684,Daniel-Kofi Kyereh,M,Ghana,,179.0,310000.0,SC Freiburg,Bundesliga
836711,Jan-Niklas Beste,M,Germany,,177.0,7500000.0,SC Freiburg,Bundesliga
569784,Maximilian Eggestein,M,Germany,,181.0,10500000.0,SC Freiburg,Bundesliga
914755,Patrick Osterhage,M,Germany,,183.0,11600000.0,SC Freiburg,Bundesliga
979820,Philipp Treu,M,Germany,,172.0,8500000.0,SC Freiburg,Bundesliga
49639,Nicolas Höfler,M,Germany,,181.0,475000.0,SC Freiburg,Bundesliga
142259,Matthias Ginter,D,Germany,,189.0,5700000.0,SC Freiburg,Bundesliga
576266,Philipp Lienhart,D,Austria,,189.0,11500000.0,SC Freiburg,Bundesliga
142231,Christian Günter,D,Germany,,184.0,1900000.0,SC Freiburg,Bundesliga
1131339,Jordy Makengo,D,France,,191.0,5800000.0,SC Freiburg,Bundesliga
1596573,Bruno Ogbus,D,Switzerland,,188.0,940000.0,SC Freiburg,Bundesliga
1131337,Max Rosenfelder,D,Germany,,186.0,8400000.0,SC Freiburg,Bundesliga
142525,Lukas Kübler,D,Germany,,183.0,1500000.0,SC Freiburg,Bundesliga
103442,Anthony Jung,D,Germany,,186.0,675000.0,SC Freiburg,Bundesliga
980626,Noah Atubolu,G,Germany,,190.0,19400000.0,SC Freiburg,Bundesliga
842858,Florian Müller,G,Germany,,190.0,1200000.0,SC Freiburg,Bundesliga
174341,Jannik Huth,G,Germany,,185.0,435000.0,SC Freiburg,Bundesliga
1215904,Rodrigo Ribeiro,F,Portugal,,185.0,2400000.0,FC Augsburg,Bundesliga
111483,Michael Gregoritsch,F,Austria,,193.0,1600000.0,FC Augsburg,Bundesliga
822877,Alexis Claude-Maurice,F,France,,174.0,12900000.0,FC Augsburg,Bundesliga
1996846,Uchenna Ogundu,F,Nigeria,,188.0,1600000.0,FC Augsburg,Bundesliga
1113488,Ismael Gharbi,M,Tunisia,,173.0,6700000.0,FC Augsburg,Bundesliga
796206,Kristijan Jakić,M,Croatia,,181.0,5600000.0,FC Augsburg,Bundesliga
929620,Fabian Rieder,M,Switzerland,,181.0,7400000.0,FC Augsburg,Bundesliga
354878,Dimitrios Giannoulis,M,Greece,,178.0,3100000.0,FC Augsburg,Bundesliga
1390682,Mert Kömür,M,Germany,,183.0,11600000.0,FC Augsburg,Bundesliga
927340,Han-Noah Massengo,M,France,,175.0,5200000.0,FC Augsburg,Bundesliga
254119,Marius Wolf,M,Germany,,187.0,2300000.0,FC Augsburg,Bundesliga
842188,Elvis Rexhbeçaj,M,Kosovo,,178.0,3800000.0,FC Augsburg,Bundesliga
1129365,Anton Kade,M,Germany,,179.0,7700000.0,FC Augsburg,Bundesliga
877842,Yannik Keitel,M,Germany,,186.0,1900000.0,FC Augsburg,Bundesliga
860461,Robin Fellhauer,M,Germany,,185.0,2600000.0,FC Augsburg,Bundesliga
1388328,Mahmut Kücüksahin,M,Türkiye,,182.0,180000.0,FC Augsburg,Bundesliga
1597260,Noahkai Banks,D,USA,,193.0,14600000.0,FC Augsburg,Bundesliga
963198,Chrislain Matsima,D,France,,192.0,21000000.0,FC Augsburg,Bundesliga
1122806,Arthur Chaves,D,Brazil,,187.0,4900000.0,FC Augsburg,Bundesliga
891651,Keven Schlotterbeck,D,Germany,,189.0,5700000.0,FC Augsburg,Bundesliga
798926,Cedric Zesiger,D,Switzerland,,191.0,4900000.0,FC Augsburg,Bundesliga
146853,Jeffrey Gouweleeuw,D,Netherlands,,187.0,1000000.0,FC Augsburg,Bundesliga
809219,Mads Pedersen,D,Denmark,,179.0,1100000.0,FC Augsburg,Bundesliga
1504873,Oliver Sorg,D,Austria,,176.0,410000.0,FC Augsburg,Bundesliga
1995786,Felix Meiser,D,Germany,,189.0,140000.0,FC Augsburg,Bundesliga
947986,Nediljko Labrović,G,Croatia,,196.0,2100000.0,FC Augsburg,Bundesliga
822564,Finn Dahmen,G,Germany,,188.0,12500000.0,FC Augsburg,Bundesliga
930282,Daniel Klein,G,Germany,,192.0,155000.0,FC Augsburg,Bundesliga
1462742,Ilyas Ansah,F,Germany,,197.0,12900000.0,1. FC Union Berlin,Bundesliga
927405,Woo-Yeong Jeong,F,South Korea,,179.0,3700000.0,1. FC Union Berlin,Bundesliga
953767,Andrej Ilić,F,Serbia,,189.0,5500000.0,1. FC Union Berlin,Bundesliga
608362,Oliver Burke,F,Scotland,,188.0,3900000.0,1. FC Union Berlin,Bundesliga
1513469,Livan Burcu,F,Türkiye,,178.0,4200000.0,1. FC Union Berlin,Bundesliga
1568506,Dmytro Bogdanov,F,Ukraine,,188.0,580000.0,1. FC Union Berlin,Bundesliga
1518974,David Preu,F,Germany,,172.0,410000.0,1. FC Union Berlin,Bundesliga
791642,Josip Juranović,M,Croatia,,173.0,2700000.0,1. FC Union Berlin,Bundesliga
877302,András Schäfer,M,Hungary,,179.0,4099999.0,1. FC Union Berlin,Bundesliga
886737,Derrick Köhn,M,Ghana,,180.0,4200000.0,1. FC Union Berlin,Bundesliga
149479,Rani Khedira,M,Tunisia,,188.0,2100000.0,1. FC Union Berlin,Bundesliga
1210666,Tom Rothe,M,Germany,,192.0,10300000.0,1. FC Union Berlin,Bundesliga
327863,Robert Skov,M,Denmark,,183.0,2800000.0,1. FC Union Berlin,Bundesliga
825740,Alex Král,M,Czechia,,185.0,3600000.0,1. FC Union Berlin,Bundesliga
48557,Christopher Trimmel,M,Austria,,189.0,555000.0,1. FC Union Berlin,Bundesliga
1198074,Aljoscha Kemlein,M,Germany,,185.0,8300000.0,1. FC Union Berlin,Bundesliga
800252,Tim Skarke,M,Germany,,179.0,1700000.0,1. FC Union Berlin,Bundesliga
168985,Janik Haberer,M,Germany,,187.0,2600000.0,1. FC Union Berlin,Bundesliga
1086547,Leopold Querfeld,D,Austria,,190.0,17000000.0,1. FC Union Berlin,Bundesliga
855663,Diogo Leite,D,Portugal,,188.0,11600000.0,1. FC Union Berlin,Bundesliga
830803,Danilho Doekhi,D,Netherlands,,187.0,13900000.0,1. FC Union Berlin,Bundesliga
904991,Stanley N'Soki,D,France,,184.0,1600000.0,1. FC Union Berlin,Bundesliga
1534045,Andrik Markgraf,D,Germany,,172.0,,1. FC Union Berlin,Bundesliga
137692,Frederik Rønnow,G,Denmark,,188.0,2600000.0,1. FC Union Berlin,Bundesliga
842718,Matheo Raab,G,Germany,,186.0,560000.0,1. FC Union Berlin,Bundesliga
148167,Carl Klaus,G,Germany,,189.0,335000.0,1. FC Union Berlin,Bundesliga
135264,Yussuf Poulsen,F,Denmark,,193.0,1400000.0,Hamburger SV,Bundesliga
1012235,Ransford Yeboah Königsdörffer,F,Ghana,,182.0,3800000.0,Hamburger SV,Bundesliga
168987,Robert Glatzel,F,Germany,,193.0,1400000.0,Hamburger SV,Bundesliga
1146091,Damion Downs,F,USA,,192.0,6800000.0,Hamburger SV,Bundesliga
789192,Jean-Luc Dompé,F,France,,170.0,3300000.0,Hamburger SV,Bundesliga
991824,Rayan Philippe,F,France,,177.0,4099999.0,Hamburger SV,Bundesliga
1568535,Otto Stange,F,Germany,,185.0,2700000.0,Hamburger SV,Bundesliga
1546267,Fabio Baldé,F,Portugal,,182.0,2700000.0,Hamburger SV,Bundesliga
904835,Fábio Vieira,M,Portugal,,170.0,16600000.0,Hamburger SV,Bundesliga
901892,Albert Sambi Lokonga,M,Belgium,,183.0,8199999.0,Hamburger SV,Bundesliga
1000263,Albert Grønbæk,M,Denmark,,176.0,8500000.0,Hamburger SV,Bundesliga
988476,Philip Otele,M,Nigeria,,185.0,5300000.0,Hamburger SV,Bundesliga
1386180,Omar Megeed,M,Egypt,,188.0,155000.0,Hamburger SV,Bundesliga
1862226,Alexander Røssing-Lelesiit,M,Norway,,184.0,4700000.0,Hamburger SV,Bundesliga
842526,Bakery Jatta,M,Gambia,,184.0,725000.0,Hamburger SV,Bundesliga
1064305,Nicolai Remberg,M,Germany,,187.0,4700000.0,Hamburger SV,Bundesliga
930271,Noah Katterbach,M,Germany,,178.0,630000.0,Hamburger SV,Bundesliga
1405212,Luka Vušković,D,Croatia,,193.0,43000000.0,Hamburger SV,Bundesliga
1035752,Giorgi Gocholeishvili,D,Georgia,,178.0,3800000.0,Hamburger SV,Bundesliga
973564,Nicolás Capaldo,D,Argentina,,178.0,4200000.0,Hamburger SV,Bundesliga
798303,Miro Muheim,D,Switzerland,,182.0,4200000.0,Hamburger SV,Bundesliga
